Title	Link	Creator	Transcript	Status
The World Is Making Us Sick	https://www.youtube.com/watch?v=2HTn0T21k0U	Bryan Johnson	if you lived in the year 1870 and the future could whisper into your ear it might say something like this there are these things called germs they can and can lead to death now if you most people in the 1870s you going to believe that craziness you telling me that things beyond the resolution of my eyes are the cause of disease infection and potentially death that is how the future always works it presents ideas that we find to be bizarre and unintelligible that the case throughout history is the earth the center of the universe or does the Earth orbit around the Sun so if we imagine the 25th Century Whispering into our ears what might they say and when they say it how might we control our knee-jerk reactions so that we don think the 25th Century might say is that for the first time in human history death May no longer be inevitable now that does not mean immortality it means that we have a horizon of extending our health spans and lifespans to degrees that are previously unimaginable to us in this moment we know that things are changing very fast technology is progressing at speeds that makes it hard for our minds to comprehend we don want to miss out in not knowing the big thing that that observation that the singular Insight that will dominate our time and place as the future looks back at us they will say that is the moment when humans acquired the technological ability to dramatically extend their lifespans so don things in life and it expansive philosophical contemplations we can have as intelligent beings practically speaking we can say smoking two cigarettes shortens your life by 30 minutes so we can assign cigarettes a die score let same principle to something else let take a look at a typical American School lunch a piece of pizza some chocolate milk and some canned vegetables what would we assign for a die score should we say just 7 minutes for sake of contemplation so we die and the reason why this example is useful because when adults speak to themselves about these ideas of die adults have a infinitely long list of reasons why they should justify their vices it long YOLO live fast Die Young death is a positive thing but when you frame it as us feeding die to kids it shows how pernicious this thing is don attention to the embedding in our society that we have built a society around die think of it fast food algorithms that make us do bad stuff we are surrounded by things that accelerate aging and increase the probability of death and then we justify these things as living our best life and when someone like myself defies those Norms I get heaped upon with hate don effort that all of us can rally behind and say this is the most consequential observation of this moment and we can begin working on don that about 3 years ago I posed the question what is our proximity to being able to slow down and even neutralized the aging process 3 years in we now have the answer it way I did that I measured every organ of my body getting a biological age of each organ and then we use the best science to try to slow down my speed of aging and reverse that aging damage you can take this same process and apply it to almost anything it whether it school lunch they looking at Baseline measurements you look at what the healthy uh parameters would be you look at the science and you implement a protocol if you overwhelmed with these ideas or if you and you want to tell me why I and why you understand I conversation at my house in dinners for 3 years now I know with 99% predictability what people say when they say it and how they say it to understand this you have to dig pretty deep into the assumptions if death has always been inevitable we build our existence around justifying our behaviors around that inevitability if death is no longer inevitable you are invited to reconstruct your entire reality and this is why I don Well or some other positive statement that a lot of people encourage me to say because if you say those positive things literally everybody is going to say yep I circumstances in life if you say don die it forces the person to reconcile with everything they understand in existence so if you want to die you need to justify why die is a virtue for you and for everyone else say you don to die you need to confront that death has always been inevitable how are we possibly going to overcome this unimaginable challenge don Concept I said the words from for the first time in late 2023 since I and now there are hundreds of gatherings in over 58 countries people organically getting together around this concept of don would catch fire this fast and be this strong I think it strongest movement of this early 21st century that this is something that we can all rally upon if you think about it don game by every human on this planet every second of every day don more than capitalism it than any religion it is the most played game in existence you right now I the single thing that every human on this planet can agree upon so when we talk about goal alignment or trying to get our priorities synced as a species this is the one thing that we can agree upon and it not even don don look both ways before they cross the street while be smoking a cigarette but I would encourage you join this movement be part of the cause be don your life go to bed on time eat well exercise try to overcome your vices and bad habits be the embodiment of this thing teach your children or other children and your parents and your siblings try to shift their mindset from Death being inevitable and therefore justifying debauchery and vices to call them back to say no we actually can live a better life I that is very similar to a nation state it has different characteristics where it but Bound by Network characteristics that you together with a common objective and so in this case we would band together and we would work on individual don initiatives so some may do this with personal health some may do it on planetary Health some may apply to school lunch others to politics relationships auto emissions like you take any domain in society you can apply the same Concepts I people together and we will work on these ideas together so take your given idea and then walk through the process how do you define death how do you measure it how do you actually minimize it and or eliminate it and repeat that process continually I Don together as a community it will be social first and we will encourage each other there we are like our closest friends and those we exposed to instead of algorithms that entertain us until we uh become stupified this will be friends in a community encouraging everyone to be more healthy we be gamified it will be a lot of fun to try to systematically lower die scores and increase life scores so there three things for you first is become familiar with the sources of D around you number two is join the app when it live to be part of the community to both benefit and contribute to everybody well-being and third if you interested in pursuing a don Endeavor and being part of our initial group I description below include your name and your project and other details so that we can try to expand our working groups to help everybody work on their don die initiatives just like democracy don thousands of follow- on questions that will pertain to ethics and morals and wh ifs and all kinds of problems and most likely problems that we haven anticipated which will probably be the most dominant ones the ones we imagine probably won that this solves all things it to say that if the future could whisper into our ears and if we wanted to hear it and be part of the future that this would be the starting point [Music]	Success
DonÂt Die is going on tour. Join me at in San Francisco and Singapore. Link in bio	https://www.youtube.com/watch?v=q5X9L954Xt8	Bryan Johnson	hey friends do you take more than one supplement a day do you cold plunge are you in the heat Sonet do you go to bed on time do your friends think you weird well you have a home at the don die Summit September 8th in San Francisco join us for one day where we about all the latest and greatest in longevity health and wellness try Cutting Edge technology and together try to not die click on the link below and register now it is time we reimagine the unthinkable that we may not die	Success
My Wild 48 Hours In NYC (ft. Andrew Schulz, Doctor Mike)	https://www.youtube.com/watch?v=2uPvDTdzjlE	Bryan Johnson	what time is it 1 hour past bedtime what are we doing going to a rave yeah I am back in New York and we press events a don a health rave first up is a podcast with Rowdy comedian Andrew Schultz have you ever been to a Furry Convention oh cuz I know you you you your belly [Music] butt do you have apprehensions about the podcast no I new format for me and I like the challenge I was watching a few guests before me and some were there just to mess around the whole time and others took every moment to be sincere you know when the opening was there they then Andrew and his friends would break it up with some comedy and so I don really know what I don play I bit of both comedy and like messing around with them and also trying to slip in some new Frameworks that they haven thought of before nice to meet you guys to meet you excited hi Kate how you doing are you adjusting sleep for time zone stay the same interesting you need water you got some tea is that part of the just one that it on right everybody the podcast was a ton of fun I didn all really cool it environment but it overcrowded there vibe in their studio is just a bunch of people having fun next we podcast of the day this one is with Dr Mike this guy he has more than 2 million followers he really is huge on social media he by people magaz don fool you though he just a pretty face I love what you are doing how did you become this famous sexy guy he New York he knows his stuff he do you guys know Dr Mike Dr Mike Dr Mike Dr Mike Dr Mike Dr Mike this space was was very different where Dr Mike was was buttoned up everything was pristine he had Awards all over his house about things he had won and done Dr Mike and I sit down and the camera starts rolling and all of a sudden Mike is like this tough interviewer and now I feel like I there the Rarity of it is higher which is essentially a shorter life rarer years right don that so are you essentially making your life less valuable by living longer years if I were to live to 50 you know that that I have to live and let alternate universe I live to be 90 you know I reconcile with that and say like those those four years were the best years of my life because I was all in on living versus you know for the remaining 40 years I got to live I got to see the following things or do the following things I don like a very hard question to answer it was fine it was just like a it was a surprise situation and then afterwards you know he flipped back like really nice guy so it was unexpected meting tonight you get a good night oh t [Music] it very excited we private event and then we future of humanity discussion tonight and then a dance party at Gast careful do not want to get soggy [Music] shoes blueberry look pretty sad almost at R in that [Music] brece hi everyone we do a a group hug everyone in group hug everyone eyes closed Center yourself breathe in 2 3 4 breathe out two three 4 hey how younger you last year I decided to you know go see the doctor about my health to see if there was anything else that was going on and I unearth a lot of scary stuff right so whenever I heard about the meetups it like you know what this is the new me 80 lb sounds lighter I people I kind of expected this there could be a lot of meeting cool people uh little bit cult-like but not fully cult-like as you mentioned you know the quest for the Holy Grail has gone on for Millennia and you know I think this time we [Music] it 1 2 3 Paparazzi showed up apparently they didn either first Paparazzi experience the people that don this every time they [Music] amazing how was the rock running oh thank you had a good day thank you yeah you yeah thank you Bri for coming can everyone give him a round of applause thank you everyone some games in the kitchen to start and then we side chat so we to recreate without the proper recipe what we think the Nutty pudding is made of and Brian is going to judge based on taste which uh is the closest to actually recreating it AI ideas [Music] [Music] nice try good effort good effort yeah yeah I think the winner thank you all for being here uh really excited to be hanging out with you so the objective of our conversation today is that um I hope to break your brain I hope to introduce Concepts that will change the way you understand reality and how you approach life it does take some openness to do this because uh you strong disposition to try to bat these ideas down with one talk down I had one more to go it was 5:00 p.m. but we were in for a long night when your baby steps away from Super intelligence what do you do if you piece these things together and you say okay we humans own knowledge we are first principes thinking we have dominated this planet we are the ultimate Alpha on this planet besides mosquitoes now there intelligence that kind of time scale that at us on all these different domains and it kind of seems inevitable it to be better at us at most if not all things almost pretty soon and when that happens it knowledge and it knows more than we do so we are now removed from our one position to a zero position where we don don anymore what do we do don only thing we can say in our power yeah yeah yeah my voice is almost gone what time is it one hour past bedtime what are we doing going to a rave how has today been as a whole one of the best days of life just the energy around this thing is real and it say predictably like uh I think some people just think I Persona and then we get into these gatherings and like oh my God this is real this is serious this is interesting I time to get there and sincerity is not the currency online no one cares so but yeah it just feels like once we get people uh once we get together as a group and we talk about it then people are really into it I tired I just want to fall over why are we doing a rave when you so tired because humans want to F connection humans want stories to tell other people they want life experiences they want to live people think if you are doing playing don you can can live in a don should we dance dance mhm yes [Applause] [Music] [Music] [Music] I feel like I climbed Mount kill magaro yeah we got after on the Dance Floor Scott you were out there man yeah we had some moments we had some we had some moments you know this was last minute we were coming here for the podcast and they were like why don events and we put together the entire day and it was a little bit of a hassle and it took us away from work that we really wanted to do and we were like we hate doing this we have so much work to do honestly I yeah what A Strange Day mhm yeah honestly it was an everything day yeah everything [Music]	Success
This could be the most powerful anti-aging therapy I've done. Full video in bio.	https://www.youtube.com/watch?v=fglcSa_ThZU	Bryan Johnson	today I will be receiving my first gene therapy Rich dude doing all this crazy stuff for his Health Plus blood boy Plus measuring nighttime erections plus penis Rejuvenation with shock therapy now in Honduras doing gene therapy yeah it quite a stack this could be the most powerful anti-aging therapy I received as I get ready I reflect on the magnitude of the moment this therapy could have huge implications not only for me but for all of humanity with will it help me break that 120e ceiling we see	Success
Who should join my next dinner? Tag someone you don't want to die	https://www.youtube.com/watch?v=Wa7qri2ZRRY	Bryan Johnson	[Music] n can Chop Top it says I choose not to life of imitation distant CL into the reservation def the pistol that you playay for this PK the feeling that you stay for in time I want to be your best friend peace I love is living on the West End knock out before you better come to don truth is some to	Success
The DonÂt Die world tour is coming. First stops: SF & Singapore. Excited to meet you all IRL	https://www.youtube.com/watch?v=ZDA_B4P35ww	Bryan Johnson	hi friends my name is Brian Johnson I that crazy guy trying to not die I think we death May no longer be inevitable join me in a don around the world 10 cities the first one being San Francisco on Sunday September 8th so put that on your calendar it could be the most important date of your life we are daring to say the unthinkable thing in the year 2024 we may not die we the world forance and wellness to learn about practices habits and routines we can all have so we can be our best selves and better humans we how to live well healthy and be your best self this is the event that may change your life forever click on the link below and register now it is time we reimagine the unthinkable that we may not die	Success
My Anti-Aging Travel Essentials	https://www.youtube.com/watch?v=Al-CG7ULYtk	Bryan Johnson	it millions of dollars a year to slow my speed of Aging keeping up my protocols when I things I do so today I you all the stuff I pack in my suitcase to not die I going to pack So today we it together let Oral Care the first thing is I have an electric toothbrush when I grew up I had a manual toothbrush and then when I was 20 something I used electric for the first time it was amazing I why this was not part of my childhood but electric toothbrushes are great so we electric toothbrushes one I keep for trips and one I use at home because I don time pack it and unpack it I just have things that I take when I travel so it very easy then floss we use this particular floss because there was a study that showed 25% greater plaque control with this floss I was using Oral B which has a finer thread so we switched to this floss and then we have this toothpaste everything is fluoride free I have two other versions but these were travel size so I then blcks I recently learned that keeping the lips moisturized is a good idea not a practice of my childhood so basically I you as I pack because these are things I wish I would have learned earlier in life and so now I hope you can too all right then the tongue scraper this was also another thing this didn until I was in my my 30s why in cleaning the tongue is one of the best things you can do for oral uh cleanliness and also uh bad breath because the tongue holds is that true um actually I just said something I don perception is it tongue leavs a bad breath a clean tongue is a clean mouth so I with it so tongue cleaning morning and night all right that is Oral Care uh the bag is already kind of full so I taking you can see in here I let extra virgin olive oil the snake oil and I party on this coming Saturday and we going to share with everyone a whole bunch of blueprint food so I the bottles of olive oil the other stuff is being shipped next is hair care now I normally would not bring this light cap if it were for a day or two uh it much to bring especially for a carry-on but given that I don day 6 minutes a day in the morning so I a new formulation this is a company roots and I did a genetic test to see which things I would be responsive for CU you are responsive to certain things on the scalp for prevention of hair loss and hair growth so this is a custom formulation for me which has minoxidil and a bunch of other stuff toide melatonin so I will wake up I will apply this and one more more which is not here and then I will wear my cap for 6 minutes uh every day so because we going on a trip we gr7 this is on my website that I use for oh you can see it settled in the bottom which has really helped on gray hair uh this is my shampoo I it shampoo makes a huge difference in our hair protocol it men big difference but we still use it anyways we shampoos over the years so this is now I suspect will probably change and oh here we go okay I take back my statement so in the morning I will apply this custom hair growth RX with this car factor and then I will do the red light therapy a comb which you know $8 on Amazon some gel if I typically don anything on my hair so this is just in case it gets wild and then I use this guy which is great uh I of these but you put it on the head and just like massage your scalp and so when you apply these things to your head you can uh rub your scalp for a minute or two it increases blood flow which also is helpful for hair so I have this routine morning and night and it pretty easy once you get the hang of it and then I tote here in a minute so I guys up in a second let me jump to face deodorant is in face which is not does not should not be in face all right so more face routine is I use this cleanser actually I use one with h what one for acne control um I dose low dose um Accutane for the past 4 months it laser treatments will cause these breakouts and so it blemishes are awful and so I doing lowd dose Accutane two pills a week they started I been wonderful so uh but yeah this is my face wash I exosomes uh exosomes are something that people are familiar with when that have been coupled when you go to the dermatologist and get a facial treatment they will sometimes pair it with exosomes this company has built one for daily application I and uh I just reached week 12 from applying morning and night and I was going to measure this week on my week 12 anniversary to see if it had reduced my UV damage and improved scores like Reds and Browns we have this multi-spectral imaging technology where it measures 10 biomarkers across the face and so TBD I we efficacious or not but um we about this and then I mentioned this before this adap pooo this helps in feeding the fat cells on the face so it and then I dab the matap Poo around the face this is again uh night time and in the morning when I wake up it leaves the face greasy and if you see some videos from me before I was applying this daily it would leave my face very greasy no one told me I probably should have noticed it myself but now I apply it in the morning and then I work out and then I shower so it still works because you apply this you leave it on for seven minutes and is done so you do not need to wear it all day then we recently tring this one skin peptide uh there interesting so we are a few weeks in triing this they have that face and then also for under eye then some sunscreen Ela MD and some shaving cream and that is it for facial care so now we can pack these guys up I have been trying to get better at not using plastic you know plastic is so convenient it amazing technology such a great material but I really tried to find other ways to transport my items all right next we do sleep so I take a pillowcase with me when I travel I like this this is copper infused and it feels really lovely on the skin uh sometimes I I don Linens at the hotels I stay at so having this it this I when I get there and then a mask when I first had the scare with my internal jugular veins where we found that I wasn outside because I have these genetically narrow veins I was so scared about the situation that I would take my pillow with me because we measured my blood flow from my brain to my body uh when I was laying down on my side on my stomach on my back my left side right side and we found that it was significant differences and there was a significant difference in terms of how I positioned my my pillow and so I was so concerned about my intracranial pressure that I would take my pillow with me when I traveled because I knew that I could achieve these flow rates and so uh I now have situated this where I I with the hotel pillows and achieve the same effect sometimes it other times but I do ahead of time check for the pillows at the hotel because again I from my brain to my body it honestly I wish everybody knew like I I feel fortunate that I know these things if I hadn way I would have ever been able to pinpoint why I was getting these piercing headaches headaches why I was having these other symptoms and it was causing major damage to my brain and so there for all of us and we don detected and so it sad State of Affairs in the future we just going to have measurement tools they easier uh they lives so yeah I hope we can get there and we can all enjoy the benefits of robust measurement all the time for electronics uh because it taking two converters this is what I place next to the bed it different Outlets so I can charge my phone uh my wearable device and then I have two different phones so phone one phone two and then another device and then this is actually really interesting this is a a neuros Sim device it of expensive it the Vegas nerve but it the technical name of it but this was cool because we found early on of course stimulating the Vegas nerve uh it your left side you you hit it here in your tragus it also goes out your neck and into your chest that when I started feeling sick ever I would immediately put this on for 60 minutes and it would like almost wipe out my sickness so we found was very powerful and then when I got covid in November of 2022 I used it then too uh to reduce my symptoms so I never travel without this guy uh I think it is incredibly effective at avoiding sickness Andor lessening sickness and I friends so I think it all right let important that everything is organized and properly situated then also I have a a travel packing list that I print out and uh you know it blueprint on the road like okay like let extra taking me on the road is extra extra and so you can see this is like this is a pretty big ordeal and so when I get on the road and I find that I miss something it I want everything there because we built a protocol to be precise and when I so I don maybe 75 things or so uh when my kids pack it their toothbrush and they and look at the I so the pack list let so I have a few things here this is blueprint nutty pudding this has made things so much easier before I would take all the raws which is doable just like one powder it collagen peptides this is 25 g a day this is the longevity mix so I used to take over 100 pills a day and then we collapsed these into powders and pills and we got control of our own supply chain so now I take just over like 40 I think and having longevity mix I think this one has 26 pills equivalent in one scoop of powder that tastes very good and then I also put it in here these are what I normally have my Mills in so this is the first time I container and I hope that it holds up I mean the seill is pretty good so I think it should hold up let guys situated you know I should probably I should probably tape these I just put that in there did you see that that this thing snapped up and that would be a disaster so let real quick thank you this is probably a much better situation yeah okay cuz this is the first time with these guys that think that increases the likelihood how much room do you think I need is that enough is that going to be secure enough probably and then I need to bring the tape with me so that when I come back well actually I won and then this guy cuz this could be when that came up I just had these visions of opening my suitcase and everything covered in powder super veggie longevity mix all right that looks pretty secure what do you think should we do a drop test yeah all right I think we on that one then this is a screw top so it fine cuz often times you know the first lesson doing these once that pain happens oh then I take these for electrolytes yeah I drink mineralized water so I never drink water by itself so I week I started something new where I doing uh Ginger so I cut it up and then I add mint and then I just put boiling water and so I make a ginger tea so I can avoid tea bags and it was really good so successful week on doing the ginger tea now the pills this is morning when I wake up and this is lunch 11:00 a.m. and then these so oh damn I and I do uh okay these are nighttime pills so before bed I not correct okay so I take my thyroid meds I got diagnosed with hypothyroidism when I was 21 years old so I take levothyroxine 112 mg and I take Armor Thyroid 30 mg I take a Statin and melatonin oh what aspirin so my assistant packed uh for me and often times this happens where there time that is hard to keep track so yeah I need to double check these things but the error is I need to include the turmeric and the aspirin 81 mg to this and then I also started a new supplement today that just arrived in the Mel and this is uh Lumber kyes and we this because when I got covid in November it increased my lung age by 19 years so using uh spirometry my biological age of my lungs were 26 in 20 01 and then in Co happened in November of 2022 my lung age went to 46 and so we long age back down and just recently this uh this week I tested at 36 I believe so I gained some ground back but I we were trying to find ways to potentially increase my lung capacity and address the underlying issues and lumber kyes is one of the things we triing to see if I can do it so this is uh one one pill twice a day morning and night so I will start that tonight so I need to add this to these guys and then the final thing is oh then we have the scoopers for the proteins and the Mills and then I with ketones so not to get into ketosis necessarily but we did this at kernel where we were measuring kernel is my brain interface company oh is this okay okay kernel is my brain interface company and we were looking at the effects of ketones on the brain and specifically as it changes with your default mode so basically there literature that shows that the brain is younger can be in a younger state with ketones I do not follow a keto diet and I don ketones so I ketones uh I subjectively feel like I sleep better but when I look at my stats I don see the we the packing we things like two or three things at any given time and I know which one is which because of the pill color so I don have these labeled as morning or night if my bag gets pulled and they start going through it they answers what is happening here sir This is highly unusual this is don bag that my clothing and I better lately my when the morning happens and I and it something that is relevant to the future of the human race and and it me to redirect my attention to clothing but I love to wear pretty clothes it my favorite I just have this constant conflict of allocating the time to decide to do it and then it it just takes time to like manage clothing you have to make sure it and taken care of properly so it of a thing I just got a bunch of new things I you think you thought I was crazy and eccentric before did that increase or decrease with this process hopefully helpful for you when you about your practicing maybe there few things I and um maybe there you can make in the comments of what I can do to improve my process all right wish me luck and I hope that security doesn [Music]	Success
Do you like yourself? a pleasure to hang with friend @DanMace	https://www.youtube.com/watch?v=9_H8zUPSAjI	Bryan Johnson	do you like yourself I love myself I love myself so much and that is coming from a place where I hated myself for most of my life how did you get from the one to the exact opposite yeah In This Moment you we things in life and that means to be human and we don pretend otherwise because it true I I inside of structures and I feel the pressure bearing down on me telling me what to do and how to do it that leads to me crumbling as a person I sold my company got a divorce left my religion and it was in that moment where everything in life before that was about what I should do and what I couldn and then at that moment it became everything that I could do and I think that of of constant depression to just constant Delight	Success
Since my dinner with @KimKardashian everyoneÂs been asking about my DonÂt Die Dinners	https://www.youtube.com/watch?v=3gjPDC6hlhs	Bryan Johnson	since my last don people have been asking for a behind the scenes look here few nights ago First We Tour my anti-aging clinic and then we do some fun aging tests this one looks at Advanced glycation end product essentially junk buildup in your skin next we ate nutty pudding and extra virgin olive oil finally we spend a few hours discussing the future of humanity I walk people through a series of questions that are thought-provoking often times people walk away from these dinners and say this is one of the most profound group conversations they ever had sometimes it changes people life trajectory let me know what you think would you join can I kick it	Success
Dear Ronald McDonald...	https://www.youtube.com/watch?v=G6OZh3ouhrI	Bryan Johnson	[Music] dear McDonald and you created food that is addicting and I can of my death please stop amen	Success
Avoided surgery - thank you body!	https://www.youtube.com/watch?v=sCrF114grKM	Bryan Johnson	well I I sprained my ankle and I I just got the results but it looks like a small evulsion fracture nonsurgical I prayed and I thought who do I pray to I thought I going to pray to my body and say body I know you can do it and that and it worked my prayers were answered who do you pray to you know	Success
Trying Sofwave for skin rejuvenation with Project Babyface. No needles, no downtime.	https://www.youtube.com/watch?v=789eZ0L6JZM	Bryan Johnson	[Music] today I out a new therapy for skin Rejuvenation we now for 2 years first when I started blueprint I got pretty skinny and lost quite a lot of volume so we revolumize and also tighten up the treatment I softwave it uses ultrasound and it stimulates collagen and alastin 1.5 mm below the surface of the skin there surgery and and no needles and there no downtime we don and filler because those two things mask aging they don I my skin does feel a lot tighter this is what they call a Cinderella effect it will likely go away in 2 weeks and then we week Mark so follow along I will share my progress and if we think this is something that each of you should try out	Success
